行,変電所名,都道府県,結果,緯度,経度,OSM側の名称
2242,南砂町変電所,東京都,一致(東京都),35.675717,139.835406,南砂町変電所
2243,南篠崎変電所,埼玉県,一致なし,,,
2244,南荏原変電所,東京都,一致なし,,,
2245,南辻変電所,埼玉県,一致なし,,,
2246,南郷変電所,東京都,一致(東京都),35.54745,139.722492,南郷変電所
2247,南青山変電所,東京都,一致なし,,,
2248,南鞘町変電所,東京都,一致なし,,,
2249,南馬込変電所,東京都,一致なし,,,
2250,厚原変電所,静岡県,一致なし,,,
2252,原変電所,静岡県,一致なし,,,
2253,原宿変電所,東京都,一致なし,,,
2254,原町変電所,群馬県,一致なし,,,
2255,厩橋変電所,東京都,一致なし,,,
2256,古渕変電所,神奈川県,一致なし,,,
2257,台場変電所,東京都,一致なし,,,
2258,台町変電所,東京都,一致なし,,,
2259,吉原変電所,静岡県,一致なし,,,
2260,吉橋変電所,千葉県,一致なし,,,
2261,吉見変電所,埼玉県,一致なし,,,
2262,吉野変電所,埼玉県,一致なし,,,
2263,向台変電所,東京都,一致なし,,,
2264,向島変電所,東京都,一致なし,,,
2266,和田堀局配変電所,東京都,一致なし,,,
2268,問屋町変電所,群馬県,一致なし,,,
2269,四街道変電所,千葉県,一致なし,,,
2270,国分寺南変電所,東京都,一致なし,,,
2271,国府津変電所,神奈川県,一致なし,,,
2272,国母変電所,山梨県,一致なし,,,
2273,土橋変電所,神奈川県,一致なし,,,
2274,土気変電所,千葉県,一致なし,,,
2275,土肥変電所,静岡県,一致なし,,,
2276,坂戸変電所,埼玉県,一致なし,,,
2277,城内変電所,静岡県,一致なし,,,
2278,堀の内変電所,埼玉県,一致なし,,,
2279,堀川変電所,神奈川県,一致なし,,,
2280,堀江変電所,東京都,一致(東京都),35.652584,139.866496,堀江変電所
2281,堀西変電所,神奈川県,一致なし,,,
2282,堂庭変電所,静岡県,一致なし,,,
2283,堤方変電所,東京都,一致(東京都),35.572153,139.715616,堤方変電所
2284,堰原変電所,静岡県,一致なし,,,
2285,塚原変電所,神奈川県,一致なし,,,
2287,塩山変電所,山梨県,一致なし,,,
2288,塩沢変電所,山梨県,一致なし,,,
2289,境変電所,東京都,一致なし,,,
2290,境木変電所,神奈川県,一致なし,,,
2291,増穂変電所,山梨県,一致なし,,,
2292,外神田変電所,東京都,一致なし,,,
2293,多摩川変電所,神奈川県,一致なし,,,
2294,大井変電所,東京都,一致(東京都),35.591327,139.735078,大井変電所
2295,大仁変電所,静岡県,一致なし,,,
2296,大和町変電所,東京都,一致なし,,,
2297,大室変電所,静岡県,一致なし,,,
2299,大宮局変電所,埼玉県,一致なし,,,
2300,大宮桜木変電所,埼玉県,一致なし,,,
2301,大岡山変電所,東京都,一致なし,,,
2302,大島変電所,東京都,一致なし,,,
2304,大師変電所,神奈川県,一致なし,,,
2305,大広戸変電所,埼玉県,一致なし,,,
2306,大森変電所,東京都,一致(東京都),35.581256,139.735225,大森変電所
2307,大正寺変電所,群馬県,一致なし,,,
2308,大洲変電所,千葉県,一致なし,,,
2309,大渕変電所,静岡県,一致なし,,,
2311,大類変電所,群馬県,一致なし,,,
2312,大黒埠頭変電所,神奈川県,一致なし,,,
2313,天津変電所,千葉県,一致なし,,,
2314,天王台変電所,千葉県,一致なし,,,
2315,天空橋変電所,東京都,一致なし,,,
2316,宇佐美変電所,静岡県,一致なし,,,
2317,宇田川変電所,東京都,一致なし,,,
2318,安良里変電所,静岡県,一致なし,,,
2319,宝町変電所,神奈川県,一致なし,,,
2320,宮本変電所,神奈川県,一致なし,,,
2321,寄居変電所,埼玉県,一致なし,,,
2322,富ヶ谷変電所,東京都,一致なし,,,
2323,富士変電所,静岡県,一致なし,,,
2324,富士ヶ嶺変電所,山梨県,一致なし,,,
2325,富士吉田変電所,山梨県,一致なし,,,
2326,富士宮変電所,静岡県,一致なし,,,
2327,富士根変電所,静岡県,一致なし,,,
2328,富士桜変電所,山梨県,一致なし,,,
2329,富士見町変電所,千葉県,一致なし,,,
2330,富士豊茂変電所,山梨県,一致なし,,,
2331,富沢変電所,山梨県,一致なし,,,
2332,寺島変電所,東京都,一致なし,,,
2333,小名木川変電所,東京都,一致なし,,,
2334,小堤変電所,埼玉県,一致なし,,,
2335,小岩変電所,東京都,一致なし,,,
2336,小島変電所,東京都,一致なし,,,
2337,小手指変電所,埼玉県,一致なし,,,
2338,小武川第四変電所,山梨県,一致なし,,,
2339,小淵沢変電所,山梨県,一致なし,,,
2340,小港変電所,神奈川県,一致なし,,,
2341,小豆沢変電所,東京都,一致(東京都),35.774183,139.698702,小豆沢変電所
2342,尾山台変電所,東京都,一致なし,,,
2343,山下町変電所,神奈川県,一致なし,,,
2344,山中変電所,山梨県,一致なし,,,
2345,山宮変電所,静岡県,一致なし,,,
2346,山手変電所,神奈川県,一致なし,,,
2347,山梨局配変電所,山梨県,一致なし,,,
2348,岡宮変電所,静岡県,一致なし,,,
2350,岩室変電所,群馬県,一致なし,,,
2351,岩富変電所,千葉県,一致なし,,,
2352,岩本町変電所,東京都,一致なし,,,
2353,岩波変電所,静岡県,一致なし,,,
2354,岩渕変電所,東京都,一致なし,,,
2355,岩神変電所,群馬県,一致なし,,,
2356,峰変電所,神奈川県,一致なし,,,
2357,嵐山吉田変電所,埼玉県,一致なし,,,
2358,川井変電所,神奈川県,一致なし,,,
2359,川寺変電所,埼玉県,一致なし,,,
2360,川島町変電所,埼玉県,一致なし,,,
2361,川間変電所,千葉県,一致なし,,,
2362,左門町変電所,東京都,一致なし,,,
2363,市ヶ谷変電所,東京都,一致なし,,,
2364,市山変電所,静岡県,一致なし,,,
2365,市川第二変電所,千葉県,一致なし,,,
2368,幡谷変電所,群馬県,一致なし,,,
2369,平山変電所,東京都,一致なし,,,
2370,平成町変電所,神奈川県,一致なし,,,
2371,平戸変電所,埼玉県,一致なし,,,
2373,平野変電所,山梨県,一致なし,,,
2374,幸変電所,山梨県,一致なし,,,
2375,幸浦変電所,神奈川県,一致なし,,,
2376,幸町変電所,埼玉県,一致なし,,,
2377,広小路変電所,静岡県,一致なし,,,
2378,広尾変電所,東京都,一致なし,,,
2379,広町変電所,東京都,一致なし,,,
2380,庚申塚変電所,東京都,一致なし,,,
2381,引地川変電所,神奈川県,一致なし,,,
2382,弦巻変電所,東京都,一致なし,,,
2383,強羅変電所,神奈川県,一致なし,,,
2384,御岳変電所,山梨県,一致なし,,,
2385,御幸変電所,神奈川県,一致なし,,,
2386,御所見変電所,神奈川県,一致なし,,,
2387,御苑前変電所,東京都,一致なし,,,
2388,徳行変電所,山梨県,一致なし,,,
2389,恋ヶ窪変電所,東京都,一致なし,,,
2390,恵比寿変電所,東京都,一致なし,,,
2391,恵比須町変電所,神奈川県,一致なし,,,
2392,惣社町変電所,栃木県,一致なし,,,
2393,愛宕変電所,東京都,一致なし,,,
2394,愛川変電所,神奈川県,一致なし,,,
2395,成城変電所,東京都,一致なし,,,
